n,h,erro,ordem_p
2.0,1.0,-0.13761149459720912,0.0
4.0,0.5,-0.012821681086780501,3.423943647148893
8.0,0.25,-0.0009824927547299467,3.705994851513695
16.0,0.125,-0.00006804571250285107,3.85187060160518
32.0,0.0625,-4.477721486040309e-6,3.925667561154033
64.0,0.03125,-2.8717390065935433e-7,3.9627682522515486
128.0,0.015625,-1.81816766087195e-8,3.981367490342928
256.0,0.0078125,-1.143728667329924e-9,3.9906685028214866
512.0,0.00390625,-7.16688930424425e-11,3.996253952844129
1024.0,0.001953125,-4.46931380793103e-12,4.003221820988119
2048.0,0.0009765625,-3.090860900556436e-13,3.853972711030561
4096.0,0.00048828125,-1.0658141036401503e-14,4.857980995127572
