n,h,erro,ordem_p
2.0000e+00,1.0000e+00,8.4996e+01,0.0000e+00
4.0000e+00,5.0000e-01,1.0854e+01,2.9692e+00
8.0000e+00,2.5000e-01,6.5063e-01,4.0602e+00
1.6000e+01,1.2500e-01,3.9891e-02,4.0277e+00
3.2000e+01,6.2500e-02,2.4801e-03,4.0076e+00
6.4000e+01,3.1250e-02,1.5480e-04,4.0019e+00
1.2800e+02,1.5625e-02,9.6717e-06,4.0005e+00
2.5600e+02,7.8125e-03,6.0443e-07,4.0001e+00
5.1200e+02,3.9062e-03,3.7776e-08,4.0000e+00
1.0240e+03,1.9531e-03,2.3610e-09,4.0000e+00
2.0480e+03,9.7656e-04,1.4737e-10,4.0019e+00
4.0960e+03,4.8828e-04,9.2086e-12,4.0003e+00
